     X,     Y,elevation,station
47855.639048,-258260.490167,1148.300000,  LBTB
-119312.982168,-205346.339290,980.000000, NE201
29078.764940,81388.609365,1083.000000, NE208
-143235.918304,139746.799354,1005.000000, NE209
-300441.223411,-18749.030482,1153.000000, NE211
-49629.972397,-78472.041659,1038.000000, NE212
-225067.882685,-309810.895347,1030.000000, NE213
-67899.072682,274049.396326,956.000000, NE216
224178.548413,175880.462129,1047.000000, NE217
107940.184048,235131.521440,941.000000, NE218
235398.827446,13142.980937,911.000000, NE219
72905.305340,-75072.557191,1020.000000, NE220
247786.795378,-196363.087135,1462.000000,  MARA
129178.281920,-308291.281171,1333.000000,  MRCO
221477.663298,-246550.895655,1001.000000,  NHAM
246499.349306,-296661.488292,1000.000000,  NYAT
